[2025/06/07 16:55:32] - Namespace(model='resnet50', model_norm='batchnorm', l2=0, l1=0, batch_size=128, data_dir='../cifar-data', epochs=200, lr_schedule='piecewise', lr_max=0.1, lr_one_drop=0.01, lr_drop_epoch=100, attack='pgd', epsilon=8, attack_iters=10, restarts=1, pgd_alpha=2, fgsm_alpha=1.25, norm='l_inf', fgsm_init='random', fname='resnet50_batchnorm_adv', seed=0, half=False, width_factor=10, resume=0, cutout=False, cutout_len=None, mixup=False, mixup_alpha=None, eval=False, val=False, chkpt_iters=10)
[2025/06/07 16:55:34] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2025/06/07 17:03:02] - 0 	 378.8 	 	 69.2 	 	 0.1000 	 3.1006 	 0.1109 	 3.5755 	 	 0.1016 	 	 2.2965 	 0.1020 	 2.3160 	 	 0.0999
[2025/06/07 17:10:15] - 1 	 363.6 	 	 69.1 	 	 0.1000 	 2.2706 	 0.1357 	 2.2967 	 	 0.1125 	 	 2.2007 	 0.1729 	 2.2575 	 	 0.1549
[2025/06/07 17:17:34] - 2 	 369.0 	 	 69.7 	 	 0.1000 	 2.1515 	 0.1876 	 2.2270 	 	 0.1579 	 	 2.1112 	 0.1804 	 2.1838 	 	 0.1655
[2025/06/07 17:24:48] - 3 	 364.6 	 	 69.2 	 	 0.1000 	 2.1092 	 0.2019 	 2.1943 	 	 0.1692 	 	 2.0633 	 0.2186 	 2.1691 	 	 0.1821
[2025/06/07 17:32:03] - 4 	 365.5 	 	 69.4 	 	 0.1000 	 2.0484 	 0.2444 	 2.1616 	 	 0.1892 	 	 1.9385 	 0.3045 	 2.0868 	 	 0.2332
[2025/06/07 17:39:16] - 5 	 363.4 	 	 69.5 	 	 0.1000 	 1.8966 	 0.3125 	 2.0895 	 	 0.2220 	 	 1.7608 	 0.3816 	 1.9764 	 	 0.2674
[2025/06/07 17:46:32] - 6 	 366.0 	 	 69.5 	 	 0.1000 	 1.7917 	 0.3554 	 2.0259 	 	 0.2432 	 	 1.7032 	 0.3941 	 1.9183 	 	 0.2902
[2025/06/07 17:53:43] - 7 	 361.8 	 	 68.8 	 	 0.1000 	 1.7151 	 0.3881 	 1.9813 	 	 0.2609 	 	 1.6136 	 0.4347 	 1.8725 	 	 0.3057
[2025/06/07 18:00:57] - 8 	 364.8 	 	 69.3 	 	 0.1000 	 1.6493 	 0.4204 	 1.9436 	 	 0.2743 	 	 1.5979 	 0.4212 	 1.8905 	 	 0.2874
[2025/06/07 18:08:06] - 9 	 359.9 	 	 68.7 	 	 0.1000 	 1.5784 	 0.4504 	 1.9031 	 	 0.2884 	 	 1.4833 	 0.4997 	 1.8203 	 	 0.3192
