[2025/06/07 19:15:11] - Namespace(model='WideResNet34x10', model_norm='groupnorm', l2=0, l1=0, batch_size=128, data_dir='../cifar-data', epochs=200, lr_schedule='piecewise', lr_max=0.1, lr_one_drop=0.01, lr_drop_epoch=100, attack='pgd', epsilon=8, attack_iters=10, restarts=1, pgd_alpha=2, fgsm_alpha=1.25, norm='l_inf', fgsm_init='random', fname='wideresnet_groupnorm_adv', seed=0, half=False, width_factor=10, resume=0, cutout=False, cutout_len=None, mixup=False, mixup_alpha=None, eval=False, val=False, chkpt_iters=10)
[2025/06/07 19:16:01] - Namespace(model='WideResNet34x10', model_norm='groupnorm', l2=0, l1=0, batch_size=128, data_dir='../cifar-data', epochs=200, lr_schedule='piecewise', lr_max=0.1, lr_one_drop=0.01, lr_drop_epoch=100, attack='pgd', epsilon=8, attack_iters=10, restarts=1, pgd_alpha=2, fgsm_alpha=1.25, norm='l_inf', fgsm_init='random', fname='wideresnet_groupnorm_adv', seed=0, half=False, width_factor=10, resume=0, cutout=False, cutout_len=None, mixup=False, mixup_alpha=None, eval=False, val=False, chkpt_iters=10)
[2025/06/07 19:16:04] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2025/06/07 19:21:46] - 0 	 286.2 	 	 56.4 	 	 0.1000 	 2.3249 	 0.1089 	 2.3589 	 	 0.0966 	 	 2.3058 	 0.1000 	 2.3095 	 	 0.1000
[2025/06/07 19:27:19] - 1 	 276.9 	 	 55.9 	 	 0.1000 	 2.3024 	 0.1054 	 2.3068 	 	 0.0924 	 	 2.3039 	 0.1000 	 2.3057 	 	 0.1000
[2025/06/07 19:32:52] - 2 	 276.9 	 	 56.0 	 	 0.1000 	 2.3029 	 0.1047 	 2.3051 	 	 0.1002 	 	 2.3030 	 0.1000 	 2.3041 	 	 0.1000
[2025/06/07 19:38:25] - 3 	 277.4 	 	 55.6 	 	 0.1000 	 2.3030 	 0.1039 	 2.3045 	 	 0.1013 	 	 2.3038 	 0.1003 	 2.3044 	 	 0.0996
[2025/06/07 19:43:58] - 4 	 276.6 	 	 55.8 	 	 0.1000 	 2.3034 	 0.1023 	 2.3047 	 	 0.0969 	 	 2.3047 	 0.1000 	 2.3053 	 	 0.1000
[2025/06/07 19:49:30] - 5 	 276.7 	 	 55.9 	 	 0.1000 	 2.3035 	 0.1019 	 2.3047 	 	 0.0998 	 	 2.3036 	 0.1000 	 2.3040 	 	 0.1000
[2025/06/07 19:55:03] - 6 	 276.9 	 	 55.9 	 	 0.1000 	 2.3035 	 0.1022 	 2.3045 	 	 0.0982 	 	 2.3046 	 0.1000 	 2.3049 	 	 0.1000
[2025/06/07 20:00:36] - 7 	 276.9 	 	 55.7 	 	 0.1000 	 2.3032 	 0.1028 	 2.3042 	 	 0.0999 	 	 2.3041 	 0.1007 	 2.3050 	 	 0.0966
[2025/06/07 20:06:09] - 8 	 276.7 	 	 56.5 	 	 0.1000 	 2.2757 	 0.1377 	 2.2973 	 	 0.1102 	 	 2.2236 	 0.1595 	 2.2846 	 	 0.1325
[2025/06/07 20:11:42] - 9 	 276.9 	 	 56.1 	 	 0.1000 	 2.1700 	 0.2008 	 2.2571 	 	 0.1478 	 	 2.1363 	 0.1950 	 2.2339 	 	 0.1570
